,title,author,published_date,published_date_precision,link,clean_url,excerpt,summary,rights,rank,topic,country,language,authors,media,is_opinion,twitter_account,_score,_id
0,Virtual Event Platform Market Is Predicted to Reach USD 18.9 Billion in 2026 with CAGR of 12.7%,MarketsandMarkets,2022-11-01 12:45:00,full,http://www.sbwire.com/press-releases/virtual-event-platform-market-is-predicted-to-reach-usd-189-billion-in-2026-with-cagr-of-127-1365850.htm,sbwire.com,"Virtual Event Platform Market with COVID-19 Impact by Component (Platform and Services), Organization Size, End User (Corporations, Government, Education, Healthcare, Third Party Planner,…","Virtual Event Platform Market with COVID-19 Impact by Component (Platform and Services), Organization Size, End User (Corporations, Government, Education, Healthcare, Third Party Planner, Associations, Non-Profit) and Region - Global Forecast to 2026 Northbrook, IL 60062 -- (SBWIRE) -- 11/01/2022 -- The report ""Virtual Event Platform Market with COVID-19 Impact by Component (Platform and Services), Organization Size, End User (Corporations, Government, Education, Healthcare, Third Party Planner, Associations, Non-Profit) and Region - Global Forecast to 2026"", size is expected to grow at a Compound Annual Growth Rate (CAGR) of 12.",sbwire.com,14792,news,US,en,MarketsandMarkets,http://media.releasewire.com/photos/show/?id=147887,False,@sbwire,7.873665,a0629eff9f828c1112bb537caf30416f
1,The Japanese proverb that inspires Cvent CEO Reggie Aggarwal to never give up,,2022-11-01 10:00:00,full,https://www.bizjournals.com/washington/news/2022/11/01/japanese-proverb-that-inspires-ceo-reggie-aggarwal.html,bizjournals.com,"Reggie Aggarwal, CEO and founder of Cvent, is a recipient of the Washington Business Hall of Fame's lifetime achievement award.","The Greater Washington area has a long history of influential business leaders powering the growth of our region and the strength of their communities. On Nov. 30, the Washington Business Hall of Fame will welcome four such leaders who will receive our region's signature lifetime business achievement award. The Hall of Fame brings these visionaries – the best in business, to the table with the next generation of leaders – the next in business, through an experience that connects and inspires us all.",bizjournals.com,422,news,US,en,,https://media.bizj.us/view/img/12373240/jawashingtonhallfame2022laureates2100x1200v2aggarwal*1200xx2100-1184-0-7.jpg,False,,17.751722,c16f67a68438bec2bfb4545d25ccb764
2,The Neu Project Champions for More Neuroinclusive Events,Taylor,2022-11-01 00:15:00,timezone unknown,https://www.meetingstoday.com/articles/143608/neu-project-champions-more-neuroinclusive-events,meetingstoday.com,"After attending the 2022 Cannes Lions International Festival of Creativity June 20-24, Rachel Lowenstein, global head of inclusive innovation at Mindshare and autistic creator, needed an entire week…","After attending the 2022 Cannes Lions International Festival of Creativity June 20-24, Rachel Lowenstein, global head of inclusive innovation at Mindshare and autistic creator, needed an entire week of under-stimulation and time to focus on getting herself into a better headspace.  The event was a success, and Lowenstein even appeared as a guest speaker, but Cannes Lions wasn't necessarily tailored to include neurodivergent attendees like herself, Lowenstein said, and four days of over-stimulation exhausted her while her colleagues left feeling energized, excited and passionate.",meetingstoday.com,243342,news,US,en,"Content Developer,Destinations,Smith,Taylor",https://www.meetingstoday.com/sites/default/files/2022-10/The%20Neu%20Project%20Launch%20at%20IMEX%20America%202022.jpg,False,,5.1760716,0ada45d62f0d6bed2a3461def6970ed7
3,The Neu Project Paves the Way for More Neuroinclusive Events,Taylor,2022-10-31 19:45:00,timezone unknown,https://www.meetingstoday.com/articles/143608/neu-project-paves-way-more-neuroinclusive-events,meetingstoday.com,"After attending the 2022 Cannes Lions International Festival of Creativity June 20-24, Rachel Lowenstein, global head of inclusive innovation at Mindshare and autistic creator, needed an entire week…","After attending the 2022 Cannes Lions International Festival of Creativity June 20-24, Rachel Lowenstein, global head of inclusive innovation at Mindshare and autistic creator, needed an entire week of under-stimulation and time to focus on getting herself into a better headspace.  The event was a success, and Lowenstein even appeared as a guest speaker, but Cannes Lions wasn't necessarily tailored to include neurodivergent attendees like herself, Lowenstein said, and four days of over-stimulation exhausted her while her colleagues left feeling energized, excited and passionate.",meetingstoday.com,243342,news,US,en,"Content Developer,Destinations,Smith,Taylor",https://www.meetingstoday.com/sites/default/files/2022-10/The%20Neu%20Project%20Launch%20at%20IMEX%20America%202022.jpg,False,,4.446268,642998b39d83fd2b547861fffed818ea
4,How Fintech Week London Unified Data With Cvent,The Fintech Times,2022-10-31 19:01:01,full,https://thefintechtimes.com/fintech-week-london-unified-data-cvent/,thefintechtimes.com,"Fintech Week London forged a partnership with event management software provider, Cvent for a solution which unified its data.","by The Fintech TimesOctober 31, 2022October 31, 2022Fintech Week London is a week-long series of events highlighting and celebrating the fintech industry in London. The annual event included a two-day-long flagship conference with over 900 senior decision-makers from leading fintech companies, banks, investment firms, regulatory bodies, media companies and service providers present.Its second event welcomed the likes of Lori Lightfoot, Mayor of Chicago, to speak of Chicago's fintech industry and economic development.",thefintechtimes.com,33672,finance,GB,en,"--Ppa-Color-Scheme,--Ppa-Color-Scheme-Active,Root,The Fintech Times,Tom Bleach",https://thefintechtimes.com/wp-content/uploads/2022/07/fintech-week-london-1.jpg,False,@thefintechtimes,18.865385,aacd97ff6a51805a6db7ea609e003602
5,Event Management Software Market will be Thriving Enormously by 2028,Mr. Shah,2022-10-31 10:48:12,full,https://www.einpresswire.com/article/598709459/event-management-software-market-will-be-thriving-enormously-by-2028-socialtables-eventzilla-zerista-inc,einpresswire.com,"Description New Research Study """"Event Management Software Market 2022 analysis by Market Trends (Drivers, Constraints, Opportunities, Threats, Challenges","NEW JERSEY, UNITED STATES, October 31, 2022 /EINPresswire.com/ -- Description New Research Study """"Event Management Software Market 2022 analysis by Market Trends (Drivers, Constraints, Opportunities, Threats, Challenges and Investment Opportunities), Size, Share and Outlook"""" has been added to Coherent Market insight The Event Management Software Market research report provides a comprehensive examination of the market as well as crucial insights to assist organizations and major players in developing successful strategies.",einpresswire.com,12453,news,US,en,Mr. Shah,https://www.einpresswire.com/favicon.ico,False,,8.555908,b7fca57c64aa54362e8e2cf53c68c914
6,Event Management Software Market will be Thriving Enormously by 2028,Mr. Shah,2022-10-31 10:48:12,full,https://www.einnews.com/pr_news/598709459/event-management-software-market-will-be-thriving-enormously-by-2028-socialtables-eventzilla-zerista-inc,einnews.com,"Description New Research Study """"Event Management Software Market 2022 analysis by Market Trends (Drivers, Constraints, Opportunities, Threats, Challenges and","NEW JERSEY, UNITED STATES, October 31, 2022 /EINPresswire.com/ -- Description New Research Study """"Event Management Software Market 2022 analysis by Market Trends (Drivers, Constraints, Opportunities, Threats, Challenges and Investment Opportunities), Size, Share and Outlook"""" has been added to Coherent Market insight The Event Management Software Market research report provides a comprehensive examination of the market as well as crucial insights to assist organizations and major players in developing successful strategies.",einnews.com,3825,news,UA,en,"EIN News,Mr. Shah",https://brazilbusiness.einnews.com/images/ein_logo_transparent.png,False,,8.351961,dcfa06384630bf12b219b00f6b4cb2f4
7,Cvent CONNECT Europe 22: Cvent culture with Jamie Vaughan,Adam Parry,2022-10-31 10:00:11,full,https://www.eventindustrynews.com/news/cvent-connect-europe-22-cvent-culture-with-jamie-vaughan,eventindustrynews.com,"Introduced by host Adam Parry the second chapter of chats he had during a visit to Cvent CONNECT Europe, at Intercontinental Hotel – The O2, is with Jamie Vaughan, the company's VP of European sales.…","Introduced by host Adam Parry the second chapter of chats he had during a visit to Cvent CONNECT Europe, at Intercontinental Hotel – The O2, is with Jamie Vaughan, the company's VP of European sales. Following Jamie's potted perspective on some of CONNECT 2022's content, and the show's primary takeaways, this short episode focuses on the Cvent culture and what the greater industry can learn from it. Jamie Vaughan takes another tack on the virtual/hybrid evolution that Patrick Smith discussed in part one, going on to define Cvent as it stands, beyond the ‘software company' label, and how the team there is developing a structure for anything that comes next.",eventindustrynews.com,289972,news,US,en,"Adam,Adam Is The Co-Founder,Adam Parry,Editor",https://www.eventindustrynews.com/wp-content/uploads/2022/10/Cvent-CONNECT-Europe-22_-Cvent-culture-with-Jamie-Vaughan.png,False,eventnewsblog,22.605482,1d6283c8ac788ca588bbf527a587b738
8,Wordly Elevates Inclusivity via Event Tech at IMEX America; Launches Cvent Integration and Other Features,,2022-10-28 20:15:00,timezone unknown,https://www.tsnn.com/news/wordly-elevates-inclusivity-event-tech-imex-america-launches-cvent-integration-and-other,tsnn.com,"Leading AI-powered translation service Wordly, which launched in 2019, took inclusivity to a new level for IMEX America 2022 in Las Vegas, enabling thousands of attendees to engage in education in the…","Leading AI-powered translation service Wordly, which launched in 2019, took inclusivity to a new level for IMEX America 2022 in Las Vegas, enabling thousands of attendees to engage in education in the language of their choice, in addition to announcing Cvent integration, six more language options, on-demand transcript translation and expanded developer APIs. Wordly, which recently topped 200 million minutes of live translation on its platform, making it the first SaaS solution designed for meetings and events to reach this milestone, was the official translation provider for IMEX America, offering attendees real-time translation into 25 languages on their mobile device via live audio or captions.",tsnn.com,51035,news,US,en,,https://www.tsnn.com/sites/default/files/shutterstock_659756341_0.jpg,False,,23.146011,04182a186ebf7fd321c99d2e2d956e5f
9,"To Achieve Lofty Hotel Sales Goals for 2023, Let's Embrace New Sales Habits",Doug Kennedy,2022-10-28 18:33:50,full,https://www.hospitalitynet.org/opinion/4113219.html,hospitalitynet.org,"Based on the conversations I'm having with KTN sales training clients, it seems that demand for groups and events is coming back quicker than expected, so sales revenue targets for 2023 have been…","Based on the conversations I'm having with KTN sales training clients, it seems that demand for groups and events is coming back quicker than expected, so sales revenue targets for 2023 have been raised accordingly. With all the continued uncertainty in the economy and with Covid 19 still refusing to go away, it's going to take more than a reactive sales culture to achieve those goals. Therefore, this is a wonderful time to establish new sales habits.

As my frequent readers know, I have often written about what I call 'sales slippage,' whereby too many salespeople have grown content to live off inbound demand.",hospitalitynet.org,10603,news,NL,en,Doug Kennedy,https://www.hospitalitynet.org/picture/social_153148196.jpg?t=1666974798,True,@hospitalitynet,16.01771,c11707090ef603830781785e0329a36c
10,Cvent CONNECT Europe 22: Patrick Smith on adapting to the new event model,Adam Parry,2022-10-28 14:07:36,full,https://www.eventindustrynews.com/news/cvent-connect-europe-22-patrick-smith-on-adapting-to-the-new-event-model,eventindustrynews.com,"Adam Parry caught up Cvent senior vice president and chief marketing officer Patrick Smith at the physical element of hybrid Cvent CONNECT Europe, held at Intercontinental Hotel – The O2. A special…","Adam Parry caught up Cvent senior vice president and chief marketing officer Patrick Smith at the physical element of hybrid Cvent CONNECT Europe, held at Intercontinental Hotel – The O2. A special episode with a focus on marketing; adapting to the new event model post-pandemic. Host Adam Parry introduces the discussion and Patrick Smith talks quickly, covering a lot of ground in these 25 minutes. Having done just one, experimental, virtual event prior to 2020, like so many other companies Cvent has dug deep into hybrid delivery since.",eventindustrynews.com,289972,news,US,en,"Adam,Adam Is The Co-Founder,Adam Parry,Editor",https://www.eventindustrynews.com/wp-content/uploads/2022/10/Cvent-CONNECT-Europe-Patrick-Smith-on-adapting-to-the-new-event-model.png,False,eventnewsblog,21.570213,48773b24e8fd5199fcebcc432297f5ee
11,Hotel Central Reservation Systems (CRS) Market to Witness Increasing Revenue Growth During the Forecast Period By 2030,Infinity Business Insights,2022-10-28 10:50:15,full,https://heraldkeeper.com/news/hotel-central-reservation-systems-crs-market-to-witness-increasing-revenue-growth-during-the-forecast-period-by-2030-amadeus-sabre-synxis-mingus-software-hotello-2364386.html,heraldkeeper.com,"New Jersey, USA: A new analysis of the Hotel Central Reservation Systems (CRS) market has been published by Infinity Business Insights (IBI). It offers prosperity of information on key market…","New Jersey, USA: A new analysis of the Hotel Central Reservation Systems (CRS) market has been published by Infinity Business Insights (IBI). It offers prosperity of information on key market dynamics, including drivers, market trends, and challenges, as well as the design of the market. Infinity Business Insights analysis presents useful information about the Hotel Central Reservation Systems (CRS) market to display how the market would grow during the forecast period, 2022 – 2030.
 Request a Free Sample Copy: 
https://www.",heraldkeeper.com,386586,news,unknown,en,Infinity Business Insights,https://secure.gravatar.com/avatar/1bc2ba233f8452691456670babe0d662?s=150&d=blank&r=g,False,,9.080678,3fcb29466ce7c5cdfa6ec020efee4896
12,"Corporate Luxury Events Market will Gain Momentum by 2030 to Surpass $526,165.5 Mn",Allied Market Research,2022-10-27 09:17:26,full,https://www.openpr.com/news/2779720/corporate-luxury-events-market-will-gain-momentum-by-2030,openpr.com,According to a new report published by Allied Market Research titled Corporate Luxury Events Market by Type and End User Global Opportunity Analysis and Industry Forecast 2021 2030 The global…,"Corporate Luxury Events Market will Gain Momentum by 2030 to Surpass $526,165.5 Mn - Destination Group, LLC, A Perfect Event By Carmen Company., Access Destination Services

https://www.alliedmarketresearch.com/request-sample/16332

https://www.alliedmarketresearch.com/request-for-customization/16332

https://www.alliedmarketresearch.com/checkout-final/fb221a8ebc7265f74d5fa4fe213a7107

https://www.alliedmarketresearch.com/online-music-streaming-market-A11156

https://www.alliedmarketresearch.com/online-entertainment-market-A06413

According to a new report published by Allied Market Research, titled, ""Corporate Luxury Events Market by Type, and End User: Global Opportunity Analysis and Industry Forecast, 2021-2030"" The global corporate luxury events market size was valued at $152,508.",openpr.com,9387,business,DE,en,Allied Market Research,https://cdn.openpr.com/V/a/Va27387868_g.jpg,False,,9.565918,085409edd06958ed5b626b6733575e56
13,Events Operations Manager,,2022-10-27 07:00:00,timezone unknown,https://www.insurancejournal.com/jobs/690439-events-operations-manager,insurancejournal.com,"Receive weekly alerts about insurance industry jobs. Back to Job Board More Jobs in ""Management""","Receive weekly alerts about insurance industry jobs. Back to Job Board More Jobs in ""Management"" Posted on Oct 14 Arlington, VA 36 views WTW is seeking an individual that has knowledge of events and experiential marketing and a passion for establishing operational excellence within events and marketing teams. This role will lead event operations and be responsible for building the operational foundation for the WTW Global Events Team. This role will manage our event platform technologies for virtual programs, event management Cvent tool, and our central budget.",insurancejournal.com,4191,news,US,en,,https://d6zxf491dr98g.cloudfront.net/logos/190x100/travelers.png,False,,19.271362,4c801b2a06ff23f7140faf42e05ebd30
14,"Virtual Event Platforms Market 2022 Current Trends, Growth, Future Prospects by Major Players: InEvent, Townscript, Cvent, Bevy Labs, Hopin etc.",Kings Research Private Limited,2022-10-27 06:33:23,full,https://heraldkeeper.com/market/virtual-event-platforms-market-2022-current-trends-growth-future-prospects-by-major-players-inevent-townscript-cvent-bevy-labs-hopin-etc-2356133.html,heraldkeeper.com,The global Virtual Event Platforms market report covers the study of all the crucial aspects of the market. The report consists of the past statistics and forecast for the future. Along with that the…,"The global Virtual Event Platforms market report covers the study of all the crucial aspects of the market. The report consists of the past statistics and forecast for the future. Along with that the report also offers readers the complete information about latest market trends, market shares and revenue growth patterns over the years. The researchers make use of graphs, charts, pie diagrams, etc. to explain the data pictorially. In addition to that to study the market number various tables are added in order to show the data in tabular form.",heraldkeeper.com,386586,news,unknown,en,Kings Research Private Limited,https://secure.gravatar.com/avatar/180e3128c0701c957a84b154d470c181?s=150&d=blank&r=g,False,,7.253532,3669f1e14becceaa00c7234d6617a03c
